DGLM ;     WithSx ; 55 ; 16521182096.102310
DGLM ;     WithSx ; 56 ; 16259730116.215452
DGLM ;     WithSx ; 57 ; 15982915846.782810
DGLM ;     WithSx ; 58 ; 15713073047.477606
DGLM ;     WithSx ; 59 ; 15434212913.367970
DGLM ;     WithSx ; 60 ; 15155573814.794874
DGLM ;     WithSx ; 61 ; 14870021466.152365
DGLM ;     WithSx ; 62 ; 14602592732.074636
DGLM ;     WithSx ; 63 ; 14333836880.716612
DGLM ;     WithSx ; 64 ; 14066406780.952616
DGLM ;     WithSx ; 65 ; 13796516308.864220
DGLM ;     WithSx ; 66 ; 13556056196.980974
DGLM ;     WithSx ; 67 ; 13304169819.566902
DGLM ;     WithSx ; 68 ; 13062471603.803402
DGLM ;     WithSx ; 69 ; 12819386612.102831
DGLM ;     WithSx ; 70 ; 12573186061.853958
DGLM ;     WithSx ; 71 ; 12334867214.877108
DGLM ;     WithSx ; 72 ; 12101959894.949957
DGLM ;     WithSx ; 73 ; 11858684589.923042
DGLM ;     WithSx ; 74 ; 11633276341.770718
DGLM ;     WithSx ; 75 ; 11405002138.000967
DGLM ;     WithSx ; 76 ; 11162297767.293592
DGLM ;     WithSx ; 77 ; 10906586310.964899
DGLM ;     WithSx ; 78 ; 10659731666.851515
DGLM ;     WithSx ; 79 ; 10412823664.244722
DGLM ;     WithSx ; 80 ; 10155941225.559919
DGLM ;     WithSx ; 81 ; 9904363983.062101
DGLM ;     WithSx ; 82 ; 9662267333.720150
DGLM ;     WithSx ; 83 ; 9427639520.534227
DGLM ;     WithSx ; 84 ; 9195759219.490410
DGLM ;     WithSx ; 85 ; 8963765795.830704
DGLM ;     WithSx ; 86 ; 8736096887.052982
DGLM ;     WithSx ; 87 ; 8511005510.267357
DGLM ;     WithSx ; 88 ; 8284514669.867049
DGLM ;     WithSx ; 89 ; 8057079026.416308
DGLM ;     WithSx ; 90 ; 7829445464.797131
DGLM ;     WithSx ; 91 ; 7595298679.861198
DGLM ;     WithSx ; 92 ; 7359946759.671399
DGLM ;     WithSx ; 93 ; 7122483510.220346
DGLM ;     WithSx ; 94 ; 6884303319.222934
DGLM ;     WithSx ; 95 ; 6644764215.016883
DGLM ;     WithSx ; 96 ; 6409448774.663874
DGLM ;     WithSx ; 97 ; 6180657420.421949
DGLM ;     WithSx ; 98 ; 5954775539.205915
DGLM ;     WithSx ; 99 ; 5730367055.721466
DGLM ;     WithSx ; 100 ; 5505527362.667530
DGLM ;     WithSx ; 101 ; 5278470447.329263
DGLM ;     WithSx ; 102 ; 5047465044.328116
DGLM ;     WithSx ; 103 ; 4811828962.838222
DGLM ;     WithSx ; 104 ; 4571469307.692904
DGLM ;     WithSx ; 105 ; 4326291299.764823
DGLM ;     WithSx ; 106 ; 4076198230.817112
DGLM ;     WithSx ; 107 ; 3821091414.463658
DGLM ;     WithSx ; 108 ; 3560870131.776866
DGLM ;     WithSx ; 109 ; 3295431569.276241
DGLM ;     WithSx ; 110 ; 3024670745.783862
DGLM ;     WithSx ; 111 ; 2748480422.540259
DGLM ;     WithSx ; 112 ; 2466771897.162076
DGLM ;     WithSx ; 113 ; 2179415551.505735
DGLM ;     WithSx ; 114 ; 1886400647.664314
DGLM ;     WithSx ; 115 ; 1587391533.559687
DGLM ;     WithSx ; 116 ; 1282388646.880031
DGLM ;     WithSx ; 117 ; 971271839.750294
DGLM ;     WithSx ; 118 ; 653918555.877066
DGLM ;     WithSx ; 119 ; 330203782.270756
STATDKGLM ;     WithSx ; 0 ; 18666688719.145916
FVDKGLM ;     WithSx ; 0 ; 24198662874.843845
CGLM ;     WithSx ; 0 ; 1974979343.371728
CGLM ;     WithSx ; 1 ; 1811438782.815220
